name,position,team_name,ict_index_gw,opponent_team,starts_gw,total_points_gw,transfers_balance,value,was_home,avg_home_difficulty,avg_away_difficulty,avg_difficulty,team_id,opponent_team_difficulty,name_substring
Joe Worrall,DEF,Nott'm Forest,1.0,12,0,0,-223,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Worrall
Diego Carlos Santos Silva,DEF,Aston Villa,0.0,19,0,0,1175,44,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Silva
Lewis Cook,MID,Bournemouth,0.3,20,1,-2,-41,50,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Cook
Bendegúz Bolla,DEF,Wolves,0.0,3,0,0,-2532,40,False,2.6842105263157894,3.1052631578947367,2.894736842105263,20.0,2.894736842105263,Bolla
Malo Gusto,DEF,Chelsea,1.4,1,1,1,-12811,42,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Gusto
Amari'i Bell,DEF,Luton,0.0,16,0,0,-82536,40,False,,,,,2.894736842105263,Bell
Dele Alli,MID,Everton,0.0,11,0,0,-37,48,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Alli
Noni Madueke,MID,Chelsea,0.0,1,0,1,-109,53,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Madueke
Milos Kerkez,DEF,Bournemouth,1.3,20,1,2,102,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Kerkez
Luke Berry,MID,Luton,0.0,16,0,0,-128,47,False,,,,,2.894736842105263,Berry
Kortney Hause,DEF,Aston Villa,0.0,19,0,0,243,40,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Hause
Will Hughes,MID,Crystal Palace,3.7,15,1,2,51,49,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Hughes
Alexander Isak,FWD,Newcastle,1.3,8,0,1,-33527,75,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Isak
John-Kymani Gordon,FWD,Crystal Palace,0.0,15,0,0,-232,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Gordon
Cheikhou Kouyaté,MID,Nott'm Forest,0.6,12,0,1,-39,48,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Kouyaté
Cédric Alves Soares,DEF,Arsenal,0.0,7,0,0,1172,39,False,2.526315789473684,2.9473684210526314,2.736842105263157,1.0,2.8684210526315788,Soares
Pierre-Emerick Aubameyang,FWD,Chelsea,0.0,1,0,0,-41,65,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Aubameyang
Garang Kuol,MID,Newcastle,0.0,8,0,0,-5,45,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Kuol
Tom Davies,MID,Sheffield Utd,0.0,14,0,0,-48,50,True,,,,,2.8421052631578947,Davies
Antwoine Hackford,FWD,Sheffield Utd,0.0,14,0,0,-140,45,True,,,,,2.8421052631578947,Hackford
Ethan Pinnock,DEF,Brentford,1.7,6,1,7,-19219,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Pinnock
Jay Stansfield,FWD,Fulham,0.0,18,0,0,-49,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Stansfield
Ryan Yates,MID,Nott'm Forest,1.0,12,0,1,-102,49,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Yates
Nicolò Zaniolo,MID,Aston Villa,1.1,19,1,2,-907,55,True,2.631578947368421,3.0,2.8157894736842106,2.0,2.894736842105263,Zaniolo
Frank Onyeka,MID,Brentford,4.0,6,1,2,62,49,True,2.6842105263157894,3.1052631578947367,2.894736842105263,4.0,2.8157894736842106,Onyeka
Naouirou Ahamada,MID,Crystal Palace,0.0,15,0,0,10638,43,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Ahamada
Philip Billing,MID,Bournemouth,7.1,20,1,6,-4277,52,True,2.6842105263157894,3.1052631578947367,2.894736842105263,3.0,2.894736842105263,Billing
Gabriel Słonina,GK,Chelsea,0.0,1,0,0,-110,40,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Słonina
Marc Guéhi,DEF,Crystal Palace,2.1,15,1,0,67701,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,7.0,2.8157894736842106,Guéhi
Seamus Coleman,DEF,Everton,0.0,11,0,0,-21,44,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,8.0,2.894736842105263,Coleman
Diogo Teixeira da Silva,MID,Liverpool,9.6,9,1,3,3499,77,True,2.5789473684210527,2.9473684210526314,2.763157894736842,12.0,2.8684210526315788,Silva
Matthew Dibley-Dias,MID,Fulham,0.0,18,0,0,-41,45,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Dibley-Dias
James McAtee,MID,Sheffield Utd,6.9,14,1,5,898,44,True,,,,,2.8421052631578947,McAtee
Erling Haaland,FWD,Man City,6.6,5,1,8,-195755,140,True,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.894736842105263,Haaland
Jack Cork,MID,Burnley,0.0,4,0,0,-33,48,False,,,,,2.894736842105263,Cork
Anthony Martial,FWD,Man Utd,0.5,17,0,1,70,65,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Martial
Danny Welbeck,FWD,Brighton,0.0,13,1,1,-4953,58,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Welbeck
Carlos Vinícius Alves Morais,FWD,Fulham,0.4,18,1,1,-6364,48,False,2.6842105263157894,3.0526315789473686,2.8684210526315788,9.0,2.8157894736842106,Morais
Olu Aina,DEF,Nott'm Forest,0.2,12,0,1,-1422,45,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Aina
Rodrigo Hernandez,MID,Man City,2.1,5,1,1,-689,56,True,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.894736842105263,Hernandez
Victor Lindelöf,DEF,Man Utd,4.3,17,1,5,2752,45,False,2.631578947368421,3.0526315789473686,2.8421052631578947,14.0,2.894736842105263,Lindelöf
Kevin De Bruyne,MID,Man City,0.0,5,0,0,-2960,102,True,2.526315789473684,2.9473684210526314,2.736842105263157,13.0,2.894736842105263,Bruyne
George Shelvey,GK,Nott'm Forest,0.0,12,0,0,-34,40,True,2.6842105263157894,3.1052631578947367,2.894736842105263,16.0,2.763157894736842,Shelvey
Lucas Bergström,GK,Chelsea,0.0,1,0,0,-27,40,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Bergström
Yasin Ayari,MID,Brighton,0.0,13,0,0,-102,45,False,2.6842105263157894,3.1052631578947367,2.894736842105263,5.0,2.736842105263157,Ayari
Lewis Miley,MID,Newcastle,0.0,8,0,0,-84,45,True,2.631578947368421,3.0,2.8157894736842106,15.0,2.8684210526315788,Miley
Roméo Lavia,MID,Chelsea,0.0,1,0,0,-11,49,True,2.631578947368421,3.0,2.8157894736842106,6.0,2.736842105263157,Lavia
Fred Onyedinma,MID,Luton,0.0,16,0,0,-1,50,False,,,,,2.894736842105263,Onyedinma
